TITLE     = ""
VARIABLES = "x [m]"
"r [m]"
ZONE T="Ogive Surface"
 STRANDID=0, SOLUTIONTIME=0
 I=8000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.894833594560623169E-02 1.060828845947980881E-02
 6.898231804370880127E-02 1.062939129769802094E-02
 6.901636719703674316E-02 1.065038517117500305E-02
 6.905047595500946045E-02 1.067127007991075516E-02
 6.908465921878814697E-02 1.069204602390527725E-02
 6.911890953779220581E-02 1.071271207183599472E-02
 6.915321946144104004E-02 1.073326915502548218E-02
 6.918760389089584351E-02 1.075371541082859039E-02
 6.922204792499542236E-02 1.077405270189046860E-02
 6.925655156373977661E-02 1.079427916556596756E-02
 6.929112970829010010E-02 1.081439480185508728E-02
 6.932576745748519897E-02 1.083439961075782776E-02
 6.936046481132507324E-02 1.085429359227418900E-02
 6.939523667097091675E-02 1.087407674640417099E-02
 6.943006068468093872E-02 1.089374814182519913E-02
 6.946495175361633301E-02 1.091330777853727341E-02
 6.949990987777709961E-02 1.093275658786296844E-02
 6.953492015600204468E-02 1.095209270715713501E-02
 6.956999748945236206E-02 1.097131706774234772E-02
 6.960514187812805176E-02 1.099042873829603195E-02
 6.964033842086791992E-02 1.100942771881818771E-02
 6.967560201883316040E-02 1.102831494063138962E-02
 6.971091777086257935E-02 1.104708854109048843E-02
 6.974630057811737061E-02 1.106574852019548416E-02
 6.978174299001693726E-02 1.108429580926895142E-02
 6.981723755598068237E-02 1.110272947698831558E-02
 6.985279917716979980E-02 1.112104952335357666E-02
 6.988841295242309570E-02 1.113925594836473465E-02
 6.992408633232116699E-02 1.115734782069921494E-02
 6.995981931686401367E-02 1.117532514035701752E-02
 6.999561190605163574E-02 1.119318883866071701E-02
 7.003145664930343628E-02 1.121093705296516418E-02
 7.006736099720001221E-02 1.122857164591550827E-02
 7.010331749916076660E-02 1.124609075486660004E-02
 7.013933360576629639E-02 1.126349437981843948E-02
 7.017540931701660156E-02 1.128078252077102661E-02
 7.021152973175048828E-02 1.129795517772436142E-02
 7.024771720170974731E-02 1.131501235067844391E-02
 7.028394937515258789E-02 1.133195403963327408E-02
 7.032024115324020386E-02 1.134877931326627731E-02
 7.035657763481140137E-02 1.136548910290002823E-02
 7.039297372102737427E-02 1.138208154588937759E-02
 7.042942941188812256E-02 1.139855757355690002E-02
 7.046592980623245239E-02 1.141491718590259552E-02
 7.050248235464096069E-02 1.143115945160388947E-02
 7.053908705711364746E-02 1.144728530198335648E-02
 7.057574391365051270E-02 1.146329380571842194E-02
 7.061245292425155640E-02 1.147918403148651123E-02
 7.064921408891677856E-02 1.149495784193277359E-02
 7.068601995706558228E-02 1.151061337441205978E-02
 7.072287797927856445E-02 1.152615156024694443E-02
 7.075978815555572510E-02 1.154157146811485291E-02
 7.079674303531646729E-02 1.155687309801578522E-02
 7.083375006914138794E-02 1.157205551862716675E-02
 7.087080180644989014E-02 1.158712059259414673E-02
 7.090790569782257080E-02 1.160206645727157593E-02
 7.094506174325942993E-02 1.161689404398202896E-02
 7.098225504159927368E-02 1.163160242140293121E-02
 7.101950049400329590E-02 1.164619158953428268E-02
 7.105679064989089966E-02 1.166066154837608337E-02
 7.109412550926208496E-02 1.167501229792833328E-02
 7.113151252269744873E-02 1.168924290686845779E-02
 7.116893678903579712E-02 1.170335430651903152E-02
